Fecha,Produccion_Monocristalina_kWh,Precio_Luz_Euro_kWh
2024-01-01,2.55,0.193
2024-01-02,2.11,0.156
2024-01-03,1.99,0.202
2024-01-04,2.4,0.19
2024-01-05,2.13,0.168
2024-01-06,2.42,0.171
2024-01-07,2.58,0.192
2024-01-08,2.31,0.181
2024-01-09,2.05,0.191
2024-01-10,2.07,0.161
2024-01-11,2.5,0.166
2024-01-12,2.0,0.193
2024-01-13,2.07,0.189
2024-01-14,2.6,0.209
2024-01-15,2.31,0.217
2024-01-16,2.36,0.185
2024-01-17,2.17,0.219
2024-01-18,2.14,0.157
2024-01-19,2.34,0.164
2024-01-20,2.04,0.183
2024-01-21,2.45,0.213
2024-01-22,2.1,0.163
2024-01-23,2.55,0.151
2024-01-24,2.43,0.155
2024-01-25,2.25,0.168
2024-01-26,2.25,0.17
2024-01-27,1.96,0.188
2024-01-28,2.23,0.208
2024-01-29,2.55,0.217
2024-01-30,2.02,0.188
2024-01-31,2.27,0.173
2024-02-01,2.13,0.152
2024-02-02,2.19,0.212
2024-02-03,2.35,0.163
2024-02-04,2.25,0.192
2024-02-05,2.57,0.176
2024-02-06,2.22,0.164
2024-02-07,2.4,0.218
2024-02-08,2.16,0.193
2024-02-09,2.55,0.173
2024-02-10,2.48,0.193
2024-02-11,2.16,0.196
2024-02-12,2.28,0.154
2024-02-13,2.37,0.218
2024-02-14,2.08,0.205
2024-02-15,2.4,0.208
2024-02-16,2.54,0.169
2024-02-17,2.08,0.211
2024-02-18,2.04,0.167
2024-02-19,2.49,0.185
2024-02-20,2.38,0.163
2024-02-21,2.11,0.199
2024-02-22,2.07,0.195
2024-02-23,2.12,0.207
2024-02-24,2.21,0.154
2024-02-25,1.97,0.188
2024-02-26,1.99,0.163
2024-02-27,2.01,0.179
2024-02-28,2.01,0.174
2024-02-29,2.14,0.212
2024-03-01,2.47,0.183
2024-03-02,2.53,0.197
2024-03-03,1.99,0.176
2024-03-04,2.5,0.196
2024-03-05,2.15,0.213
2024-03-06,2.19,0.194
2024-03-07,2.17,0.165
2024-03-08,2.06,0.181
2024-03-09,2.3,0.173
2024-03-10,2.42,0.154
2024-03-11,2.04,0.16
2024-03-12,2.54,0.156
2024-03-13,2.54,0.167
2024-03-14,2.4,0.181
2024-03-15,2.22,0.215
2024-03-16,2.38,0.188
2024-03-17,2.29,0.15
2024-03-18,2.18,0.174
2024-03-19,2.54,0.156
2024-03-20,2.55,0.211
2024-03-21,2.39,0.174
2024-03-22,2.53,0.214
2024-03-23,2.59,0.162
2024-03-24,2.17,0.189
2024-03-25,2.53,0.215
2024-03-26,2.15,0.162
2024-03-27,2.47,0.151
2024-03-28,2.1,0.172
2024-03-29,2.55,0.163
2024-03-30,1.96,0.201
2024-03-31,2.38,0.193
2024-04-01,2.33,0.174
2024-04-02,2.56,0.219
2024-04-03,2.35,0.184
2024-04-04,2.05,0.207
2024-04-05,2.32,0.207
2024-04-06,2.45,0.165
2024-04-07,2.47,0.18
2024-04-08,2.47,0.217
2024-04-09,2.4,0.199
