PlateID,Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
PV001,2025-01-01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.15,0.30,0.45,0.50,0.48,0.40,0.30,0.20,0.10,0.05,0.00,0.00,0.00,0.00,0.00,0
PV002,2025-01-01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.17,0.34,0.51,0.57,0.54,0.45,0.34,0.23,0.11,0.06,0.00,0.00,0.00,0.00,0.00,0
PV003,2025-01-01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.12,0.24,0.36,0.40,0.38,0.32,0.24,0.16,0.08,0.04,0.00,0.00,0.00,0.00,0.00,0
PV004,2025-01-01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.23,0.45,0.68,0.75,0.72,0.60,0.45,0.30,0.15,0.08,0.00,0.00,0.00,0.00,0.00,0
PV005,2025-01-01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.20,0.39,0.59,0.65,0.62,0.52,0.39,0.26,0.13,0.07,0.00,0.00,0.00,0.00,0.00,0
PV001,2025-01-02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.12,0.25,0.38,0.42,0.40,0.33,0.25,0.17,0.08,0.04,0.00,0.00,0.00,0.00,0.00,0
PV002,2025-01-02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.14,0.28,0.42,0.47,0.45,0.37,0.28,0.19,0.09,0.05,0.00,0.00,0.00,0.00,0.00,0
PV003,2025-01-02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.10,0.20,0.30,0.33,0.32,0.27,0.20,0.13,0.07,0.03,0.00,0.00,0.00,0.00,0.00,0
PV004,2025-01-02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.19,0.38,0.57,0.63,0.60,0.50,0.38,0.25,0.13,0.07,0.00,0.00,0.00,0.00,0.00,0
PV005,2025-01-02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.16,0.32,0.48,0.53,0.51,0.42,0.32,0.21,0.11,0.06,0.00,0.00,0.00,0.00,0.00,0
PV001,2025-01-03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.15,0.30,0.45,0.50,0.48,0.40,0.30,0.20,0.10,0.05,0.00,0.00,0.00,0.00,0.00,0
PV002,2025-01-03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.17,0.34,0.51,0.57,0.54,0.45,0.34,0.23,0.11,0.06,0.00,0.00,0.00,0.00,0.00,0
PV003,2025-01-03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.12,0.24,0.36,0.40,0.38,0.32,0.24,0.16,0.08,0.04,0.00,0.00,0.00,0.00,0.00,0
PV004,2025-01-03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.23,0.45,0.68,0.75,0.72,0.60,0.45,0.30,0.15,0.08,0.00,0.00,0.00,0.00,0.00,0
PV005,2025-01-03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.20,0.39,0.59,0.65,0.62,0.52,0.39,0.26,0.13,0.07,0.00,0.00,0.00,0.00,0.00,0
PV001,2025-01-04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.12,0.25,0.38,0.42,0.40,0.33,0.25,0.17,0.08,0.04,0.00,0.00,0.00,0.00,0.00,0
PV002,2025-01-04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.14,0.28,0.42,0.47,0.45,0.37,0.28,0.19,0.09,0.05,0.00,0.00,0.00,0.00,0.00,0
PV003,2025-01-04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.10,0.20,0.30,0.33,0.32,0.27,0.20,0.13,0.07,0.03,0.00,0.00,0.00,0.00,0.00,0
PV004,2025-01-04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.19,0.38,0.57,0.63,0.60,0.50,0.38,0.25,0.13,0.07,0.00,0.00,0.00,0.00,0.00,0
PV005,2025-01-04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.16,0.32,0.48,0.53,0.51,0.42,0.32,0.21,0.11,0.06,0.00,0.00,0.00,0.00,0.00,0
PV001,2025-01-05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.15,0.30,0.45,0.50,0.48,0.40,0.30,0.20,0.10,0.05,0.00,0.00,0.00,0.00,0.00,0
PV002,2025-01-05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.17,0.34,0.51,0.57,0.54,0.45,0.34,0.23,0.11,0.06,0.00,0.00,0.00,0.00,0.00,0
PV003,2025-01-05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.12,0.24,0.36,0.40,0.38,0.32,0.24,0.16,0.08,0.04,0.00,0.00,0.00,0.00,0.00,0
PV004,2025-01-05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.23,0.45,0.68,0.75,0.72,0.60,0.45,0.30,0.15,0.08,0.00,0.00,0.00,0.00,0.00,0
